size,pivot,partition,callback,time
120000,Random value,Hoare,No Callback,0.011717
120000,Random value,Hoare,No Callback,0.011717
120000,Random value,Hoare,No Callback,0.011717
120000,Random value,Hoare,No Callback,0.011717
120000,Random value,Hoare,No Callback,0.011717
130000,Random value,Hoare,No Callback,0.012878
130000,Random value,Hoare,No Callback,0.012878
130000,Random value,Hoare,No Callback,0.012878
130000,Random value,Hoare,No Callback,0.012878
130000,Random value,Hoare,No Callback,0.012878
130000,Random value,Hoare,No Callback,0.012878
130000,Random value,Hoare,No Callback,0.012878
130000,Random value,Hoare,No Callback,0.012878
130000,Random value,Hoare,No Callback,0.012878
130000,Random value,Hoare,No Callback,0.012878
130000,Random value,Hoare,No Callback,0.012878
130000,Random value,Hoare,No Callback,0.012878
140000,Random value,Hoare,No Callback,0.013825
140000,Random value,Hoare,No Callback,0.013825
140000,Random value,Hoare,No Callback,0.013825
140000,Random value,Hoare,No Callback,0.013825
140000,Random value,Hoare,No Callback,0.013825
140000,Random value,Hoare,No Callback,0.013825
140000,Random value,Hoare,No Callback,0.013825
140000,Random value,Hoare,No Callback,0.013825
140000,Random value,Hoare,No Callback,0.013825
140000,Random value,Hoare,No Callback,0.013825
140000,Random value,Hoare,No Callback,0.013825
140000,Random value,Hoare,No Callback,0.013825
150000,Random value,Lomuto,No Callback,0.016744
150000,Random value,Lomuto,No Callback,0.016744
150000,Random value,Lomuto,No Callback,0.016744
150000,Random value,Lomuto,No Callback,0.016744
150000,Random value,Lomuto,No Callback,0.016744
150000,Random value,Lomuto,No Callback,0.016744
150000,Random value,Lomuto,No Callback,0.016744
150000,Random value,Lomuto,No Callback,0.016744
150000,Random value,Lomuto,No Callback,0.016744
150000,Random value,Lomuto,No Callback,0.016744
150000,Random value,Lomuto,No Callback,0.016744
150000,Random value,Lomuto,No Callback,0.016744
160000,Random value,Hoare,No Callback,0.018419
160000,Random value,Hoare,No Callback,0.018419
160000,Random value,Hoare,No Callback,0.018419
160000,Random value,Hoare,No Callback,0.018419
160000,Random value,Hoare,No Callback,0.018419
160000,Random value,Hoare,No Callback,0.018419
160000,Random value,Hoare,No Callback,0.018419
160000,Random value,Hoare,No Callback,0.018419
160000,Random value,Hoare,No Callback,0.018419
160000,Random value,Hoare,No Callback,0.018419
160000,Random value,Hoare,No Callback,0.018419
160000,Random value,Hoare,No Callback,0.018419
170000,Random value,Hoare,No Callback,0.01687
170000,Random value,Hoare,No Callback,0.01687
170000,Random value,Hoare,No Callback,0.01687
170000,Random value,Hoare,No Callback,0.01687
170000,Random value,Hoare,No Callback,0.01687
170000,Random value,Hoare,No Callback,0.01687
170000,Random value,Hoare,No Callback,0.01687
170000,Random value,Hoare,No Callback,0.01687
170000,Random value,Hoare,No Callback,0.01687
170000,Random value,Hoare,No Callback,0.01687
170000,Random value,Hoare,No Callback,0.01687
170000,Random value,Hoare,No Callback,0.01687
180000,Random value,Hoare,No Callback,0.017872
180000,Random value,Hoare,No Callback,0.017872
180000,Random value,Hoare,No Callback,0.017872
180000,Random value,Hoare,No Callback,0.017872
180000,Random value,Hoare,No Callback,0.017872
180000,Random value,Hoare,No Callback,0.017872
180000,Random value,Hoare,No Callback,0.017872
180000,Random value,Hoare,No Callback,0.017872
180000,Random value,Hoare,No Callback,0.017872
180000,Random value,Hoare,No Callback,0.017872
180000,Random value,Hoare,No Callback,0.017872
180000,Random value,Hoare,No Callback,0.017872
190000,Random value,Hoare,No Callback,0.018703
190000,Random value,Hoare,No Callback,0.018703
190000,Random value,Hoare,No Callback,0.018703
190000,Random value,Hoare,No Callback,0.018703
190000,Random value,Hoare,No Callback,0.018703
190000,Random value,Hoare,No Callback,0.018703
190000,Random value,Hoare,No Callback,0.018703
190000,Random value,Hoare,No Callback,0.018703
190000,Random value,Hoare,No Callback,0.018703
190000,Random value,Hoare,No Callback,0.018703
190000,Random value,Hoare,No Callback,0.018703
190000,Random value,Hoare,No Callback,0.018703
200000,Random value,Hoare,No Callback,0.020243999999999998
200000,Random value,Hoare,No Callback,0.020243999999999998
200000,Random value,Hoare,No Callback,0.020243999999999998
200000,Random value,Hoare,No Callback,0.020243999999999998
200000,Random value,Hoare,No Callback,0.020243999999999998
200000,Random value,Hoare,No Callback,0.020243999999999998
200000,Random value,Hoare,No Callback,0.020243999999999998
200000,Random value,Hoare,No Callback,0.020243999999999998
200000,Random value,Hoare,No Callback,0.020243999999999998
200000,Random value,Hoare,No Callback,0.020243999999999998
200000,Random value,Hoare,No Callback,0.020243999999999998
200000,Random value,Hoare,No Callback,0.020243999999999998
210000,Random value,Hoare,No Callback,0.021044999999999998
210000,Random value,Hoare,No Callback,0.021044999999999998
210000,Random value,Hoare,No Callback,0.021044999999999998
210000,Random value,Hoare,No Callback,0.021044999999999998
210000,Random value,Hoare,No Callback,0.021044999999999998
